formula,target,oxidation_states
Bi2N2O1,1.18,"{'Bi': 4.0, 'N': -3.0, 'O': -2.0}"
Ca2N3,2.48,"({'Ca': 2.0, 'N': -1.3333333333333333},)"
Cu1O2Rh1S1,1.12,"{'Cu': 2.0, 'O': -2.0, 'Rh': 4.0, 'S': -2.0}"
Ga1O2S1Sn1,0.8300000000000001,"{'Ga': 3.0, 'O': -2.0, 'S': -2.0, 'Sn': 3.0}"
B1F1O2Pb1,1.62,"({'B': 3.0, 'F': -1.0, 'O': -2.0, 'Pb': 2.0},)"
Mn1N1O2Re1,1.06,"{'Mn': 2.0, 'N': -3.0, 'O': -2.0, 'Re': 5.0}"
N3Pd1Sc1,1.59,"{'N': -1.6666666666666667, 'Pd': 2.0, 'Sc': 3.0}"
Ba1Ir1N3,2.61,"{'Ba': 2.0, 'Ir': 5.0, 'N': -2.3333333333333335}"
Ba1O2S1Sr1,1.61,[]
In1N3Os1,1.51,"{'In': 3.0, 'N': -3.0, 'Os': 6.0}"
Bi1Ca1N1O2,1.12,"{'Bi': 5.0, 'Ca': 2.0, 'N': -3.0, 'O': -2.0}"
In1O2S1Ti1,0.9,"{'In': 2.0, 'O': -2.0, 'S': -2.0, 'Ti': 4.0}"
F1K1O2Ta1,1.41,"({'F': -1.0, 'K': 1.0, 'O': -2.0, 'Ta': 4.0},)"
K1N3Ta1,1.82,"{'K': 1.0, 'N': -1.6666666666666667, 'Ta': 4.0}"
Cu1Hg1O3,1.92,[]
Cu1Hf1O3,0.88,"({'Cu': 2.0, 'Hf': 4.0, 'O': -2.0},)"
F1N1O1Sb1Zn1,1.13,"{'F': -1.0, 'N': -2.0, 'O': -2.0, 'Sb': 3.0, 'Zn': 2.0}"
In2O3,0.88,"({'In': 3.0, 'O': -2.0},)"
Ir1N1O2Pb1,1.38,"{'Ir': 5.0, 'N': -3.0, 'O': -2.0, 'Pb': 2.0}"
N1O2Ru1Tl1,1.79,"{'N': -3.0, 'O': -2.0, 'Ru': 6.0, 'Tl': 1.0}"
Bi1N3Sc1,1.61,"{'Bi': 3.0, 'N': -1.6666666666666667, 'Sc': 2.0}"
N2O1Te2,1.28,"{'N': -3.0, 'O': -2.0, 'Te': 4.0}"
N3Tl2,2.5,"{'N': -0.6666666666666666, 'Tl': 1.0}"
Nb1O2S1V1,1.29,"{'Nb': 2.0, 'O': -2.0, 'S': -2.0, 'V': 4.0}"
Ca1N3Ti1,1.6,"{'Ca': 2.0, 'N': -1.6666666666666667, 'Ti': 3.0}"
In1Mg1N2O1,2.01,"{'In': 2.0, 'Mg': 2.0, 'N': -1.0, 'O': -2.0}"
Be1F1N1O1Ru1,1.93,"{'Be': 2.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Ru': 4.0}"
Al1O3Re1,1.3,"({'Al': 3.0, 'O': -2.0, 'Re': 3.0},)"
F1Mo1N1O1Tl1,1.23,"{'F': -1.0, 'Mo': 5.0, 'N': -3.0, 'O': -2.0, 'Tl': 1.0}"
Be1Ca1O3,1.86,[]
Hf1Mg1N1O2,1.06,"({'Hf': 4.0, 'Mg': 2.0, 'N': -2.0, 'O': -2.0},)"
As1Cr1N3,1.54,"{'As': 5.0, 'Cr': 4.0, 'N': -3.0}"
Cu1F1N1O1Ta1,0.98,"{'Cu': 1.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Ta': 5.0}"
Ca1N3Rh1,1.79,"{'Ca': 2.0, 'N': -1.6666666666666667, 'Rh': 3.0}"
Ca1Nb1O2S1,0.8,"{'Ca': 2.0, 'Nb': 4.0, 'O': -2.0, 'S': -2.0}"
Ca1F1Ga1N1O1,1.31,"{'Ca': 2.0, 'F': -1.0, 'Ga': 3.0, 'N': -2.0, 'O': -2.0}"
Cu1F1Hg1N1O1,1.58,"{'Cu': 2.0, 'F': -1.0, 'Hg': 2.0, 'N': -1.0, 'O': -2.0}"
F1Fe1O2Tl1,1.25,"({'F': -1.0, 'Fe': 2.0, 'O': -2.0, 'Tl': 3.0},)"
F1O2Ru2,1.38,"({'F': -1.0, 'O': -2.0, 'Ru': 2.5},)"
N3Sb2,1.46,"{'N': -2.6666666666666665, 'Sb': 4.0}"
Mo1O3Zn1,0.77,"({'Mo': 4.0, 'O': -2.0, 'Zn': 2.0},)"
Cr1F1Mn1O2,0.32,"{'Cr': 3.0, 'F': -1.0, 'Mn': 2.0, 'O': -2.0}"
As1N2O1Pt1,1.38,"{'As': 3.0, 'N': -3.0, 'O': -2.0, 'Pt': 5.0}"
Ag1F1O2Rb1,1.98,[]
Mo1O2S1Zn1,1.23,"{'Mo': 4.0, 'O': -2.0, 'S': -2.0, 'Zn': 2.0}"
Al1La1O3,0.96,"({'Al': 3.0, 'La': 3.0, 'O': -2.0},)"
Bi1Ni1O2S1,0.96,"{'Bi': 3.0, 'Ni': 3.0, 'O': -2.0, 'S': -2.0}"
F1Fe1N1O1Os1,1.53,"{'F': -1.0, 'Fe': 3.0, 'N': -3.0, 'O': -2.0, 'Os': 3.0}"
Ge1O3Sr1,1.09,"({'Ge': 4.0, 'O': -2.0, 'Sr': 2.0},)"
As1O2S1Zn1,1.11,"{'As': 3.0, 'O': -2.0, 'S': -1.0, 'Zn': 2.0}"
Ag1N3Tl1,2.54,"{'Ag': 2.0, 'N': -1.0, 'Tl': 1.0}"
Cu1O3Si1,1.36,"({'Cu': 2.0, 'O': -2.0, 'Si': 4.0},)"
Cr1F1N1O1Rh1,1.34,"{'Cr': 3.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Rh': 3.0}"
Be2F1O2,1.7,[]
Cr1N1O2Zn1,1.1800000000000002,"{'Cr': 5.0, 'N': -3.0, 'O': -2.0, 'Zn': 2.0}"
F1O2Pb2,0.66,[]
Li1N1O2Rh1,1.4700000000000002,"({'Li': 1.0, 'N': -1.0, 'O': -2.0, 'Rh': 4.0},)"
Cd1F1Ge1N1O1,1.1,"{'Cd': 2.0, 'F': -1.0, 'Ge': 4.0, 'N': -3.0, 'O': -2.0}"
Bi1Hg1O2S1,1.21,"{'Bi': 5.0, 'Hg': 1.0, 'O': -2.0, 'S': -2.0}"
Mn1N1O2Y1,1.04,"{'Mn': 4.0, 'N': -3.0, 'O': -2.0, 'Y': 3.0}"
N2Na2O1,2.98,"({'N': 0.0, 'Na': 1.0, 'O': -2.0},)"
As1B1F1O2,1.73,"({'As': 2.0, 'B': 3.0, 'F': -1.0, 'O': -2.0},)"
O2S1Ta1W1,0.86,"{'O': -2.0, 'S': -2.0, 'Ta': 4.0, 'W': 2.0}"
Ga1O2Ru1S1,1.1,"{'Ga': 3.0, 'O': -2.0, 'Ru': 3.0, 'S': -2.0}"
B1Bi1O2S1,1.53,"{'B': 3.0, 'Bi': 3.0, 'O': -2.0, 'S': -2.0}"
F1Hg1N1O1Sc1,1.64,"{'F': -1.0, 'Hg': 2.0, 'N': -2.0, 'O': -2.0, 'Sc': 3.0}"
Cd1Fe1N2O1,1.93,"{'Cd': 2.0, 'Fe': 2.0, 'N': -1.0, 'O': -2.0}"
Bi1F1N1O1Rh1,1.41,"{'Bi': 3.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Rh': 3.0}"
F1In1O2Re1,1.12,"{'F': -1.0, 'In': 1.0, 'O': -2.0, 'Re': 4.0}"
O2Rb1S1Sr1,2.14,[]
Bi1Cd1F1N1O1,1.06,"{'Bi': 3.0, 'Cd': 2.0, 'F': -1.0, 'N': -2.0, 'O': -2.0}"
Mn1N2Na1O1,1.73,"{'Mn': 7.0, 'N': -3.0, 'Na': 1.0, 'O': -2.0}"
In1N1O2Ti1,1.19,"{'In': 3.0, 'N': -3.0, 'O': -2.0, 'Ti': 4.0}"
Co1F1Fe1O2,0.92,"{'Co': 2.0, 'F': -1.0, 'Fe': 3.0, 'O': -2.0}"
Au1Mo1N1O2,1.37,"{'Au': 1.0, 'Mo': 6.0, 'N': -3.0, 'O': -2.0}"
Be1F1La1N1O1,1.4400000000000002,"{'Be': 2.0, 'F': -1.0, 'La': 3.0, 'N': -2.0, 'O': -2.0}"
F1Ga1O2Sr1,0.85,"({'F': -1.0, 'Ga': 3.0, 'O': -2.0, 'Sr': 2.0},)"
N3Si1Sn1,1.53,"{'N': -2.6666666666666665, 'Si': 4.0, 'Sn': 4.0}"
Mo2N2O1,1.14,"{'Mo': 4.0, 'N': -3.0, 'O': -2.0}"
N1O2Ru1Te1,1.64,"{'N': -3.0, 'O': -2.0, 'Ru': 3.0, 'Te': 4.0}"
Mg1O3Sc1,0.8200000000000001,[]
Al1N2O1Sb1,1.24,"{'Al': 3.0, 'N': -3.0, 'O': -2.0, 'Sb': 5.0}"
Mo1N3Pt1,1.28,"{'Mo': 5.0, 'N': -3.0, 'Pt': 4.0}"
Mg1N3Pd1,2.35,"{'Mg': 2.0, 'N': -1.3333333333333333, 'Pd': 2.0}"
Ir2O2S1,1.56,"({'Ir': 3.0, 'O': -2.0, 'S': -2.0},)"
Fe1Li1N1O2,1.16,"({'Fe': 2.0, 'Li': 1.0, 'N': 1.0, 'O': -2.0},)"
Co1F1N1Nb1O1,0.97,"{'Co': 1.0, 'F': -1.0, 'N': -3.0, 'Nb': 5.0, 'O': -2.0}"
F1N1O1Pt1Rh1,1.72,"{'F': -1.0, 'N': -3.0, 'O': -2.0, 'Pt': 2.0, 'Rh': 4.0}"
Au1F1N1O1Sc1,1.8,"{'Au': 3.0, 'F': -1.0, 'N': -3.0, 'O': -2.0, 'Sc': 3.0}"
Be1O2S1Sb1,1.19,"{'Be': 2.0, 'O': -2.0, 'S': -1.0, 'Sb': 3.0}"
As1F1O2Pb1,1.0,"({'As': 3.0, 'F': -1.0, 'O': -2.0, 'Pb': 2.0},)"
Ag1F1O2Rh1,1.42,"{'Ag': 1.0, 'F': -1.0, 'O': -2.0, 'Rh': 4.0}"
F1Mn1N1O1Sc1,1.14,"{'F': -1.0, 'Mn': 3.0, 'N': -3.0, 'O': -2.0, 'Sc': 3.0}"
B1Mo1N2O1,1.38,"{'B': 3.0, 'Mo': 5.0, 'N': -3.0, 'O': -2.0}"
Li1O2Pt1S1,1.48,"{'Li': 1.0, 'O': -2.0, 'Pt': 5.0, 'S': -2.0}"
Al1Ge1N2O1,1.34,"{'Al': 3.0, 'Ge': 4.0, 'N': -2.5, 'O': -2.0}"
Ga1Ni1O3,1.1,"{'Ga': 3.0, 'Ni': 3.0, 'O': -2.0}"
F1O2Pt1Zn1,1.5,[]
